stadium,avg_dominance,dominance_variance,match_count,thriller_pct,blowout_pct,median_dominance,dominance_IQR,bat_first_win_pct,chasing_win_pct,chasing_advantage,cluster,cluster_label
Arun Jaitley Stadium,-0.028148752957752394,0.8988627637918446,93,0.43010752688172044,0.23655913978494625,-0.12726414188488444,1.2718700531950882,0.4946236559139785,0.5053763440860215,0.010752688172043001,0,Chaotic / Thriller Venue
BRSABV Ekana Cricket Stadium,-0.07391819394829029,1.4287692475947842,21,0.3333333333333333,0.23809523809523808,-0.12726414188488444,1.2993509580197555,0.42857142857142855,0.5714285714285714,0.14285714285714285,1,Predictable / One-Sided Venue
Barabati Stadium,0.3322090623874224,1.667521390298263,13,0.3076923076923077,0.3076923076923077,-0.07423741609951592,0.8069706457034924,0.38461538461538464,0.6153846153846154,0.23076923076923078,1,Predictable / One-Sided Venue
Brabourne Stadium,-0.0625196000285704,0.759218641507053,26,0.38461538461538464,0.23076923076923078,-0.20263380990920274,1.2167275872858865,0.5384615384615384,0.46153846153846156,-0.07692307692307687,0,Chaotic / Thriller Venue
Dr DY Patil Sports Academy,-0.029738261421146304,0.9980964778895497,37,0.2972972972972973,0.24324324324324326,-0.07423741609951592,1.2936768142017205,0.4594594594594595,0.5405405405405406,0.08108108108108109,1,Predictable / One-Sided Venue
Dr YS Rajasekhara Reddy Cricket Stadium,-0.11402233651488689,2.713080316403678,17,0.4117647058823529,0.23529411764705882,-0.4176075017426406,1.4949955773527357,0.5294117647058824,0.47058823529411764,-0.05882352941176472,1,Predictable / One-Sided Venue
Dubai International Cricket Stadium,0.1874726997635375,1.285821438383039,43,0.37209302325581395,0.3023255813953488,-0.12726414188488444,1.885072259697646,0.4883720930232558,0.5116279069767442,0.023255813953488413,1,Predictable / One-Sided Venue
Eden Gardens,-0.09424159942930256,1.0735068768625597,99,0.41414141414141414,0.26262626262626265,-0.12726414188488444,1.2361146431641128,0.4444444444444444,0.5555555555555556,0.11111111111111116,1,Predictable / One-Sided Venue
Himachal Pradesh Cricket Association Stadium,0.14888661943176004,0.8558154314301595,14,0.2857142857142857,0.2857142857142857,-0.07423741609951592,0.8250603969149378,0.6428571428571429,0.35714285714285715,-0.28571428571428575,0,Chaotic / Thriller Venue
Kingsmead,-0.3013796469215296,0.5148966662528753,15,0.6666666666666666,0.13333333333333333,-0.47454442928192736,0.5255448959877752,0.6,0.4,-0.19999999999999996,0,Chaotic / Thriller Venue
M Chinnaswamy Stadium,-0.029044000973637216,1.1881101672871581,95,0.3684210526315789,0.22105263157894736,-0.12726414188488444,1.1099343979144356,0.45263157894736844,0.5473684210526316,0.09473684210526317,1,Predictable / One-Sided Venue
MA Chidambaram Stadium,-0.025072424946200256,0.83621567413119,89,0.4044943820224719,0.2247191011235955,-0.16216869546122062,1.07221262795308,0.550561797752809,0.449438202247191,-0.101123595505618,0,Chaotic / Thriller Venue
Maharaja Yadavindra Singh International Cricket St,-0.6211510593312916,1.2129208272319707,11,0.5454545454545454,0.18181818181818182,-0.6350043165857574,1.3718835541350562,0.5454545454545454,0.45454545454545453,-0.09090909090909088,0,Chaotic / Thriller Venue
Maharashtra Cricket Association Stadium,0.06372728280305905,0.9569299844157151,51,0.3333333333333333,0.29411764705882354,-0.05487795377587335,1.3233166338790254,0.5490196078431373,0.45098039215686275,-0.09803921568627455,0,Chaotic / Thriller Venue
Narendra Modi Stadium,0.04426272397249732,1.105115004575357,43,0.32558139534883723,0.2558139534883721,0.16824757038177435,1.374093377686143,0.5116279069767442,0.4883720930232558,-0.023255813953488413,0,Chaotic / Thriller Venue
Punjab Cricket Association IS Bindra Stadium,0.008868245936140166,0.4502391786701035,60,0.3,0.18333333333333332,-0.10605345157073703,0.8091241211445199,0.45,0.55,0.10000000000000003,0,Chaotic / Thriller Venue
Rajiv Gandhi International Stadium,0.06783071037223767,0.9581346190771696,81,0.345679012345679,0.2345679012345679,-0.07423741609951592,1.1603072911162642,0.4444444444444444,0.5555555555555556,0.11111111111111116,1,Predictable / One-Sided Venue
Sawai Mansingh Stadium,0.12240721584901745,1.137992123024186,64,0.34375,0.34375,-0.07423741609951592,1.2839528307255015,0.359375,0.640625,0.28125,1,Predictable / One-Sided Venue
Sharjah Cricket Stadium,0.04684220075130812,1.838621226223609,28,0.42857142857142855,0.35714285714285715,-0.12726414188488444,1.9579946009099856,0.35714285714285715,0.6428571428571429,0.28571428571428575,1,Predictable / One-Sided Venue
Sheikh Zayed Stadium,0.18214496933754068,1.0053961099992705,35,0.2571428571428571,0.3142857142857143,0.28036359411811396,1.637022724171534,0.4,0.6,0.19999999999999996,1,Predictable / One-Sided Venue
SuperSport Park,-0.13254463949433293,0.1896750821477261,11,0.36363636363636365,0.09090909090909091,-0.07423741609951592,0.5774759107333742,0.2727272727272727,0.7272727272727273,0.4545454545454546,1,Predictable / One-Sided Venue
Wankhede Stadium,-0.16539752051027395,0.8718423546587104,122,0.4098360655737705,0.19672131147540983,-0.1531484294500765,1.1884508466390522,0.45901639344262296,0.5409836065573771,0.08196721311475413,0,Chaotic / Thriller Venue
